Energy (eV),OscStrength,Normalized f,Peak Intensity,Spectral Area,Mean Energy,Variance,ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1),System
0.24159816407320014,7.883368336083757e-07,7.883368336083757e-07,0.0,0.0,0.0,0.0,0.5816269860453103,1.4531774131562503e-05,0.010796885270030386,0.0002548036210946891,7.620694526613674e-05,CaF2
0.2417181259411709,9.647807774995203e-05,9.647807774995203e-05,0.0,0.0,0.0,0.0,0.581460318689196,4.617189024261846e-06,0.010793510367261602,8.0963464869874e-05,2.4226855330420983e-05,CaF2
0.24172308758365083,9.725150239543967e-05,9.725150239543966e-05,0.0,0.0,0.0,0.0,0.5814534260579918,4.338224713805602e-06,0.010793385893788775,7.607191979235027e-05,2.2763633496654218e-05,CaF2
0.24186151237324188,0.00017696253192968635,0.00017696253192968635,0.0,0.0,0.0,0.0,0.5812611529088259,9.021330192735686e-06,0.01079028674145862,0.0001581996180669514,4.736614815793917e-05,CaF2
0.24232173009996094,1.1802597649388485e-06,1.1802597649388485e-06,0.0,0.0,0.0,0.0,0.5806222434835608,2.42881181688153e-07,0.010779170992345044,4.25999187838147e-06,1.2781879215849663e-06,CaF2
0.24232719665901786,1.152274799108506e-06,1.152274799108506e-06,0.0,0.0,0.0,0.0,0.5806146574985456,2.607514356992135e-08,0.010779041559653708,4.573377285565785e-07,1.37490903994716e-07,CaF2
0.24270882644374928,0.00016528139728926708,0.00016528139728926708,0.0,0.0,0.0,0.0,0.5800852473742646,8.51329667700012e-07,0.010770021571618785,1.4934118705416071e-05,4.487305588685508e-06,CaF2
0.24306274101482492,1.31314961340789e-06,1.31314961340789e-06,0.0,0.0,0.0,0.0,0.5795946024996135,1.9680345746436416e-06,0.010761667845740543,3.452831102273004e-05,1.0389560047389937e-05,CaF2
0.24306756899442214,9.653254202678638e-07,9.653254202678638e-07,0.0,0.0,0.0,0.0,0.5795879114058493,5.092146818324542e-07,0.010761543580394481,8.93396410327993e-06,2.688502491873965e-06,CaF2
0.24307202370003678,1.090103997089984e-06,1.090103997089984e-06,0.0,0.0,0.0,0.0,0.5795817376826942,1.6828656767672995e-07,0.01076143769402179,2.9525202560867886e-06,8.887199008428993e-07,CaF2
0.24307981915392637,5.662402728606624e-07,5.662402728606624e-07,0.0,0.0,0.0,0.0,0.5795709341730004,1.5325758184978145e-06,0.01076126010178699,2.6888558430098455e-05,8.091394471415632e-06,CaF2
