Energy(eV),OscStrength
1.424461560991353348e+00,8.033301497073887330e-05
1.424545801280837409e+00,3.544361899339762813e-05
1.425926429849361909e+00,1.838503855182672952e-02
1.431779186978545892e+00,8.039185347408571436e-03
1.437463671514319641e+00,3.476667812874382602e-07
1.437549426003573050e+00,2.720004517483678979e-07
1.437778288942509253e+00,4.373731318321352064e-07
1.437864318271335318e+00,4.196135548676898157e-07
1.439797933699672017e+00,1.917613119205319313e-03
1.440216570023910236e+00,1.950040706130353732e-03
1.447290534979560395e+00,2.862679116962445289e-04
1.450055538034521696e+00,4.527120122574306645e-04
1.450349440352521224e+00,6.821992060326460003e-04
1.459613436353578431e+00,2.419189075565836983e-03
1.459831722312091129e+00,1.387042699368855152e-03
1.460650781304136059e+00,2.218496374508848335e-03
1.472248440256690438e+00,9.231460828792649453e-03
1.473592456875245205e+00,9.919168345646309226e-03
1.474355784107061806e+00,3.461028506771508806e-02
1.477173700426251735e+00,3.429052999229445509e-02
1.485239159701613243e+00,8.427970851413028365e-06
1.485303895709395583e+00,5.680183504600514739e-06
1.486893721605033081e+00,6.653669811367635168e-07
1.486996911327954196e+00,1.024309210130627738e-07
1.487060058804084095e+00,3.101720213638327353e-07
1.487130323431991252e+00,8.466249732377904516e-07
1.487728495985575661e+00,1.345142799723683343e-04
1.488951630393527514e+00,2.892064598170711060e-03
1.492555495629578788e+00,1.635788210935707268e-02
1.502598538256578520e+00,4.545548939256528753e-02
1.503090870742340712e+00,4.322107521784416401e-02
1.509504865746471802e+00,1.907477235093886503e-02
1.512226106760946820e+00,8.065563300209845467e-04
1.512409245561243454e+00,1.059136564147504555e-03
1.514347999097873876e+00,1.089216875294547027e-06
1.515770003456196502e+00,1.954795308250650149e-02
1.522830105399030964e+00,4.670923860239390574e-03
1.523533409404000505e+00,7.100519238150580434e-03
1.533422611784284628e+00,2.638438535387353789e-02
1.534689618265991484e+00,2.854289328990594968e-02
1.547814329762018604e+00,4.310825718365978155e-06
1.547900304811822947e+00,3.902421324429115320e-06
1.567167227694169052e+00,3.915630317799422000e-03
1.567310867371025207e+00,1.441330691888468261e-02
1.567395224013345967e+00,1.098710584668280768e-02
1.590946092487508290e+00,1.907942020196345671e-07
1.592647833818024994e+00,3.086270844642652594e-03
1.593727457297110517e+00,5.348136639851369369e-05
1.594142348206582849e+00,1.006650778566028697e-03
1.597267923021800762e+00,1.640599612557028719e-03
1.624751350806641570e+00,3.479528499435979839e-04
1.632043252967618763e+00,8.373899374325785181e-04
1.633178100565106705e+00,2.703165888870875770e-04
1.640506374499228981e+00,4.507851112018164928e-03
1.643117306564186864e+00,6.744592117103229666e-04
1.643240709803914568e+00,5.517611797872264525e-04
1.654999258685245556e+00,1.946386603674236015e-06
1.656204287897232508e+00,7.495370388983208605e-04
1.656390263489587289e+00,8.240562696542885359e-07
1.656476497770876355e+00,1.114571676444426381e-06
1.660592959760017528e+00,4.999986312483829277e-03
1.663115687632253037e+00,1.942624807668958406e-03
1.671632490437917395e+00,1.501184358954837044e-05
1.671897789632196485e+00,6.381528782743310611e-06
1.677313150535436170e+00,2.367946658528417847e-02
1.695633677398324934e+00,1.278506080932341029e-08
1.695675524281725410e+00,2.617724864864695827e-08
1.702044781857311673e+00,5.338496949850327273e-08
1.702233943369156455e+00,3.725750098629651687e-06
1.702239835409887325e+00,2.217085469098444324e-06
1.703678698431466243e+00,3.461596348550292955e-04
1.704024553120413676e+00,8.251898596188330824e-04
1.709469363814138054e+00,1.237553035484552713e-02
1.709830906769000958e+00,2.501445765416203761e-04
1.711851985155161904e+00,1.540632938702423543e-02
1.716972750419609506e+00,2.232908104682805595e-02
1.720207311126650707e+00,1.950913116860296739e-02
1.727788671483675875e+00,2.380706482874853083e-05
1.727891093553113766e+00,4.122240910099925811e-06
1.728009161001644811e+00,8.748479792047600431e-06
1.728044946981330154e+00,4.260724290783465525e-05
1.728061988621144129e+00,3.937104978530112204e-06
1.728147320881226578e+00,1.776739565752812706e-04
1.733613381561791567e+00,9.783792710610989679e-03
1.740849577549814953e+00,3.636530283354016751e-05
1.740899724575995400e+00,8.234206655503155164e-05
1.741494429836259128e+00,2.270557259485611593e-06
1.741541802878397993e+00,1.997664584435166367e-06
1.752391594988385037e+00,3.181573018620785075e-03
1.758284300274671530e+00,2.056005887519334052e-02
1.762941467410514607e+00,7.109440666046839283e-04
1.762983914288618781e+00,2.850541184631889369e-04
1.763025062415283672e+00,5.986065888067756291e-05
1.763064263964449374e+00,1.981734994215701544e-04
1.763719559617845656e+00,2.221145777993504752e-02
1.765242417106009709e+00,5.095860048889076614e-03
1.767775638222680801e+00,1.232189367097401463e-02
1.771686007276756625e+00,1.851489465727294685e-08
1.773262983799182457e+00,4.380030316398601797e-03
1.775487610539173255e+00,4.807439043064816626e-03
1.779419535668830044e+00,6.725205162519399789e-04
1.781627416183028556e+00,8.837413224949993004e-04
1.782494933405958548e+00,1.879303856294070292e-03
1.784029777686402696e+00,6.793089181863796143e-03
1.790350093388282771e+00,1.655050359822706076e-10
1.790674116347547473e+00,7.341763010903910176e-07
1.790760260003906978e+00,5.388929672320668505e-07
1.803429996961359638e+00,1.337478101753679093e-06
1.803515247089356066e+00,2.852279413484871050e-07
1.803605739492244009e+00,2.104547902674588734e-06
1.803765345792763819e+00,2.104933363098361661e-06
1.812856808439623046e+00,2.159115936396499482e-03
1.816723401898965751e+00,9.759743865376223348e-06
1.830732322267819789e+00,1.469304107521774523e-03
1.833476402643241077e+00,9.585978939287564869e-07
1.833551690557409630e+00,6.410214232828854784e-07
1.834438310393082139e+00,4.878222895205391353e-03
1.838239518984459364e+00,5.939524675748144786e-03
1.839115945350326964e+00,3.409275150589074544e-05
1.839172954678085503e+00,8.445174363472178849e-06
1.875427320647085505e+00,3.944536328077004009e-12
1.881976652751267354e+00,2.785264243250015191e-09
1.882063367141067367e+00,4.448224031918925254e-07
1.882494641086767340e+00,1.409222076750419814e-02
1.885494554096904141e+00,1.604497496323492936e-02
1.888772042532238071e+00,4.003572299992051424e-06
1.889093684805279949e+00,3.426643120576641898e-06
1.898188238068357236e+00,6.585897513735607112e-02
1.903827570167138328e+00,1.388305170134235264e-06
1.907585797272343120e+00,1.254438078646650349e-05
1.907746895498774853e+00,1.504332885081652015e-05
1.920662757630398954e+00,1.214909485145296112e-09
1.930992728365710454e+00,3.102147936424504187e-05
1.931364542341634127e+00,3.051063611247825118e-05
1.942720494512339080e+00,5.326248796476734189e-06
1.942780335453772489e+00,5.404647931713434899e-06
1.946592277938463678e+00,1.795431778840775905e-05
1.946883118036838667e+00,1.601249745564202915e-05
1.954169405855050057e+00,2.925911744587160381e-03
1.954186247838331392e+00,3.021286288980167684e-03
1.968983370812050548e+00,1.231360414982401660e-03
1.969269329046648309e+00,7.561506797615415729e-04
1.969403153624790681e+00,8.297743913738263874e-04
1.969669140300407850e+00,4.163956542209092853e-04
1.991738288509604660e+00,3.270692336830807734e-01
2.003562945455383382e+00,3.662331311926626809e-02
2.008564370553413969e+00,3.965069640071884616e-02
2.010031675037931453e+00,5.110977404680256157e-04
2.013494143165521333e+00,7.951058245288110393e-02
2.018653730085651965e+00,7.773099657814229457e-02
2.025698958910907788e+00,1.234179935968391165e-02
2.026689335132312753e+00,2.903678838923145610e-03
2.027088273561858944e+00,2.517522391674356370e-04
2.027488924151991778e+00,2.190753525356929654e-04
2.028654273522725315e+00,1.868444183969857758e-02
2.037800133807250003e+00,1.940209785668383424e-05
2.045675684599459032e+00,6.857652471409202957e-06
2.045768800310193480e+00,5.245578346958648411e-07
2.046464407616034986e+00,1.496237424159105045e-01
2.050169735781565361e+00,5.558977235881095273e-07
2.056363356174734314e+00,1.073347535505015540e-07
2.056449406585141304e+00,1.322555547805381213e-06
2.060019878989308495e+00,2.500891377275089194e-04
2.060206263669882798e+00,1.078302963017347646e-04
2.066111540826032211e+00,2.362875292614358093e-07
2.066205820169669582e+00,3.728185041883230574e-07
2.066273991127020704e+00,4.150165432224431601e-07
2.066349838371393410e+00,1.605244669735489232e-07
2.070159754022825371e+00,9.507072947129002326e-05
2.070406546400752390e+00,8.611413564003046143e-04
2.082195049528095421e+00,1.255555093406521550e-01
2.086441417382244534e+00,6.528920155640435125e-04
2.094922777677752812e+00,7.966129232322403402e-07
2.098643355027816515e+00,7.584199017664831042e-05
2.098890986353936228e+00,1.488117587998277899e-04
2.104530242546131635e+00,3.146729866260534244e-03
2.104564325045869655e+00,1.386055707032179084e-03
2.105710747230848945e+00,2.413199508906613072e-04
2.105805530386148483e+00,3.355466904085759473e-04
2.107329555418271827e+00,3.673421172764717961e-03
2.107361547447952788e+00,1.741599246236615441e-03
2.107442375848333160e+00,3.337530713438066881e-03
2.121045377693722589e+00,1.480021092826245860e-04
2.121153419792816575e+00,1.800492076188833182e-04
2.122457071850774479e+00,7.402101372517794487e-10
2.123129803188664066e+00,2.743707334257960788e-04
2.123188585703570830e+00,2.663754147350833631e-04
2.125813165567576934e+00,1.242915658123138832e-07
2.125851028780701757e+00,6.550613176707642828e-07
2.125892926973670161e+00,4.056532730855611669e-06
2.128608825974773744e+00,6.808380141145208094e-07
2.129664663385543388e+00,8.332214086919129776e-05
2.129708332993542896e+00,8.399009983481545041e-05
2.130926670736197792e+00,1.528315792823214936e-04
2.134977250317767528e+00,1.019317576853090867e-06
2.135025363919682118e+00,9.951486950646429521e-07
2.138384256296062880e+00,1.427433067437453116e-04
2.141499214829797104e+00,1.134086308678757107e-06
2.141541708011699630e+00,8.336920949381481443e-07
