Energy(eV),OscStrength
7.645455070641025141e-01,2.108017861022619455e-06
7.660312609885119306e-01,7.205858061552397539e-07
7.704655371257316254e-01,1.631586611863450566e-06
7.710085143871169278e-01,2.005096837211077667e-05
7.718108216353211093e-01,3.738200610993454813e-05
7.742041611626101494e-01,3.858288104210896506e-07
7.754762111833195526e-01,1.122006849965780529e-03
7.766973152462501861e-01,2.897656216796320235e-04
7.866563521784997182e-01,7.405821533755720857e-07
7.874393727587325476e-01,7.177931187281940415e-04
7.949496835935713213e-01,4.347057678153925576e-04
7.993173476998794991e-01,1.299133611799473439e-05
8.076299664355460761e-01,2.585837235020528764e-03
8.169191711033243486e-01,6.092471760941674898e-05
8.186242622249034762e-01,2.214501176827414052e-03
8.322531467171685460e-01,2.683271924866787307e-04
8.329606732290762983e-01,2.354892250794650974e-04
8.362609562702462140e-01,5.857566090586517187e-05
8.448907688694532458e-01,8.682713353038439301e-04
8.487006949949655876e-01,2.358909402705287699e-03
8.505894407425188541e-01,5.173382531841899321e-03
8.516758270357044358e-01,6.398456129009309594e-04
8.643993330928223529e-01,5.589891760969991355e-05
8.812910144259777923e-01,1.073879538640517777e-05
9.078730865680906259e-01,2.901907474519815054e-05
9.079834324541902202e-01,1.261238031229737087e-04
9.148103241365227456e-01,5.428828655135460777e-06
9.204761511114322170e-01,1.204453164718548340e-03
9.242430727965642578e-01,8.121806649000391266e-04
9.269959719038808332e-01,3.636530891600666872e-08
9.378524800550946949e-01,7.013128638426670454e-04
9.470319214905156269e-01,2.726988564265719326e-08
9.538063965187907334e-01,6.288386668496129359e-05
9.575462872370984480e-01,6.610845049530170336e-06
9.594072939857138937e-01,2.041998433299557253e-06
9.677242553033501560e-01,1.550825938375701449e-05
9.701200917006679303e-01,4.769466837796987818e-07
9.702856912102453268e-01,2.741943246228693942e-07
9.776503165392549377e-01,6.794523176160839880e-08
9.812024393552317703e-01,9.409102172682817236e-05
9.860731792731444179e-01,6.737187290520151722e-03
9.873511014155715859e-01,7.556245487368209043e-08
9.908105258723557407e-01,1.863040337571043273e-04
9.936297518714931609e-01,9.653582107361692198e-04
9.940113861439014986e-01,2.499861825095338330e-03
9.980261684576491321e-01,8.128880661297080128e-06
1.001557156238698898e+00,6.296764847976444321e-05
1.009205191059669549e+00,3.972042501830566315e-04
1.012728643682534013e+00,9.467498118600627122e-03
1.018529345157685784e+00,6.404453854484853156e-04
1.027057429138249045e+00,5.967724502567654578e-09
