Energy (eV),ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1)
0.4709696315118275,4.2752656289654025,0.47436339679906353,2.070841293263846,0.1145339815132372,0.0007640136296497431
0.47317856702421773,4.274260667961564,0.8219956585602316,2.0768779378844457,0.19789214463839283,0.001326256310967786
0.4830437985713897,4.26977787018202,0.1357541481441415,2.066605101627601,0.03284472394779675,0.00022471184762966055
0.4961497037138944,4.2638361620380385,0.015333856664820837,2.0649091864101963,0.003712961510757567,2.6091979416754856e-05
0.5073528532074169,4.258769421512528,0.019957520644981117,2.0636842788338017,0.004835410350707636,3.474699777960221e-05
0.5171339147321068,4.254355108051016,0.020662780548785342,2.062614893025076,0.005008879897689923,3.668744627723941e-05
0.5263633205420177,4.250197674669087,1.5553235170700894,2.094759638496914,0.3712415230097967,0.002767680840444309
0.5317268081614687,4.247785187361121,2.194681577014148,2.1247388599443955,0.5164591325523136,0.003889541072296573
0.5816020540920309,4.2254748777674855,0.04724819973209851,2.055628116420241,0.011492399659904126,9.466958992974534e-05
0.592222846691386,4.2207526335183765,0.000548744833410945,2.0544470427232024,0.00013355049315847084,1.1202230310363636e-06
0.6041221588421916,4.215473831661775,2.9718962633605084e-07,2.053161910727398,7.300048299977713e-08,6.246321631960099e-10
0.6254338573537547,4.2060508258815394,0.0005373049179947156,2.0508658764144325,0.00013099465115382167,1.1604028693449009e-06
0.6346294974310056,4.2019973445822005,0.0009815808342439614,2.049877411433714,0.00023942427660136623,2.1520991783354427e-06
0.6472119201266563,4.196463018752645,0.00031634683243106,2.0485270378285296,7.721324215217235e-05,7.078025772855291e-07
0.658381391755783,4.191561828886479,0.004808968793043742,2.047330752031924,0.0011744484344319275,1.0951795975338339e-05
0.6717731792913533,4.185699896489359,0.01596250399845206,2.045902029670041,0.003901091979712177,3.71178399150144e-05
0.6755750822551185,4.184038564408867,0.010040127405276062,2.045493727083439,0.0024542063542963865,2.3483268441923586e-05
0.6901053371101564,4.177700850338349,0.008550717145555376,2.043943547565075,0.002091720477287402,2.0445271299198484e-05
0.6982157881954244,4.174171286502739,0.020512926125989806,2.043085041736733,0.005020086219321497,4.964490508722924e-05
0.7024697709330592,4.17232229574746,0.027665809036343716,2.0426375490557542,0.006772079816407014,6.737884342216584e-05
0.7148818557926767,4.166936373829844,0.13209437125176304,2.041563856108068,0.03235127102602378,0.00032756648928944945
0.7163057423775069,4.166319367362162,0.09008558787786469,2.0412756491557693,0.022066002677087467,0.00022387002250725738
0.7185571227720322,4.1653441451478646,0.0018498063654519795,2.040917526633562,0.00045318008699981666,4.612176947945696e-06
0.7205785705192158,4.164468896077995,0.03091269562346901,2.040717094854493,0.00757397870125555,7.729995934709264e-05
0.7221780052706865,4.163776621454534,0.041793353192866534,2.0405591127475495,0.010240662211584376,0.00010474809711071599
0.7289605852296542,4.160843413786209,0.5910921457427631,2.0449281867497704,0.1445263822888215,0.0014921930817251648
0.7299782632669223,4.160403649964687,0.4185492734500226,2.042279114434008,0.10247112417002388,0.0010594617272351972
0.7326119875466139,4.159265968115655,0.14567964133272757,2.039740472785446,0.03571033748567501,0.00037054573496923685
0.7365506079032256,4.157565732082525,1.1294480592590284,2.057403011251622,0.2744839132348522,0.00286347458347144
0.7366528878809613,4.157521597378928,1.0653076068367706,2.055402484707097,0.25914817529973455,0.0027038643182886015
0.7378092049918574,4.157022699241562,0.000238339946963615,2.0388778047391227,5.844880519037126e-05,6.107922960031235e-07
0.7403997986407614,4.155905394853682,0.054965710818131244,2.038648358608577,0.013480919989462922,0.00014137078408253545
0.7405546622241753,4.155838621640772,0.05330144163313781,2.0386293241720947,0.013072862486857795,0.00013712026911097741
0.7423913820782178,4.155046832759416,0.004015613702651816,2.038393436747207,0.0009849947585537759,1.0357159989168365e-05
0.7435113137308088,4.154564185782432,0.004446727632760708,2.038275098126195,0.0010908065443387108,1.1487067151254499e-05
0.7452948661575538,4.153795767205635,0.004410798759464567,2.0380865874959913,0.0010820930737139545,1.1422642653286744e-05
0.746323526318272,4.153352708002924,0.0021125745178791817,2.037977668336815,0.0005183016848238459,5.478776651557968e-06
0.7485913004089972,4.152376265958779,0.0016860130401409575,2.0377380688165365,0.0004136971937295454,4.386328910501492e-06
0.7500828901252442,4.151734269262347,0.007202351235353722,2.0375812604375243,0.0017673776686372537,1.8776405936285255e-05
0.7506378740338453,4.151495446937842,0.029761117890248892,2.037534977345965,0.007303216440743528,7.764589292227225e-05
0.7522370392349143,4.150807437637959,0.11508797103366505,2.0375487810729007,0.028241770725375585,0.0003008988170441385
0.7529256027993895,4.150511264504678,0.04794162365127713,2.037314335251129,0.011765887772380334,0.00012547309495517097
0.7532353629419538,4.150378040096307,0.013289445624963377,2.0372502738294926,0.0032616134099126646,3.4796617463205766e-05
0.7541310015010653,4.149992882295678,0.0049213205240842195,2.0371534898719363,0.0012078914398825694,1.290174760690227e-05
0.7562191563628192,4.14909516614778,0.00040390342472999157,2.036932786318074,9.914500561987925e-05,1.0619213684786263e-06
0.7593301874395699,4.147758401692727,0.003509682213798282,2.036604808040562,0.0008616502820240878,9.266922774867124e-06
0.7607534046383505,4.147147143352969,0.011614690897568603,2.036456548884928,0.002851691312507795,3.0727007106779973e-05
0.7636579371286579,4.145900213834896,0.0663119348232377,2.0362134845771442,0.01628314892458728,0.00017612098615366723
0.7645455070641025,4.1455193203400045,0.05927479569717558,2.0361068721929314,0.014555914649349333,0.00015762194581038215
0.7660312609885118,4.144881872303769,0.0002601359536308038,2.035898297161563,6.388726498634457e-05,6.931618196626129e-07
0.7704655371257315,4.1429805158416455,0.01214340230231915,2.035433470821327,0.002983001526821077,3.2552214365576e-05
0.7710085143871169,4.142747810538904,0.011623524564297587,2.035376123399754,0.0028553750902561427,3.118144119120493e-05
0.7718108216353211,4.142404009703139,0.004937420498470438,2.0352900237944116,0.0012129525622424093,1.3259542004194931e-05
0.77420416116261,4.141378755060991,0.2290090056620855,2.0358148885160396,0.05624504638263234,0.0006167563422055623
0.7754762111833196,4.140834036176951,0.03377666820080463,2.034920861819276,0.008299258421925896,9.115523420450744e-05
0.7766973152462502,4.140311263787572,0.24503054649556008,2.0356653517558785,0.06018438794082984,0.0006620785164153743
0.7866563521784997,4.1360524188105074,0.34002921503724287,2.035443241659959,0.08352706871844266,0.000930649478168827
